Actor,Movie,Country
Joanne Peh,Love at Risk,Singapore
Fiona Xie,One Leg Kicking,Singapore
Janine Chang,Sunny Happiness,Taiwan
Arthur Margetson,The Return of Carol Deane,United Kingdom
Brian Trueman,Victor and Hugo,United Kingdom
Cameron Carr (actor),A Daughter of Eve,United Kingdom
Brian Trueman,Cockleshell Bay,United Kingdom
Louisa Moritz,Chained Heat,West Germany
Isabelle Nanty,Disco (film),France
Ren̩e Faure,Bel Ami (1955 film),France
"Song Jia (actress, born 1980)",Will You Marry Me and My Family,People's Republic of China
Yang Yang (actor),The Dream of Red Mansions (2010 TV series),People's Republic of China
Kong Lin,Twin of Brothers (2011 TV series),People's Republic of China
Jia Hongsheng,Quitting,People's Republic of China
Dylan Kuo,Knock Knock Loving You,Republic of China
Alien Huang,Mysterious Incredible Terminator,Republic of China
Gui Gui,Mysterious Incredible Terminator,Republic of China
MeiMei Kuo,The Legend of Brown Sugar Chivalries,Republic of China
Wang Zi,The Legend of Brown Sugar Chivalries,Republic of China
Xiao Xun,The Legend of Brown Sugar Chivalries,Republic of China
Dylan Kuo,The Outsiders (Taiwanese TV series),Republic of China
Gui Gui,Brown Sugar Macchiato,Republic of China
MeiMei Kuo,Brown Sugar Macchiato,Republic of China
Wang Zi,Brown Sugar Macchiato,Republic of China
Xiao Xun,Brown Sugar Macchiato,Republic of China
Alien Huang,Sweet Sweet Bodyguard,Republic of China
Ren̩e Faure,Bel Ami (1955 film),Austria
James Ryan (actor),Space Mutiny,South Africa
Frida Hallgren,As It Is in Heaven,Sweden
Yuen Biao,Supermen Against the Orient,Cinema of Hong Kong
Rosamund Kwan,Millionaires Express,Cinema of Hong Kong
Yuen Biao,Millionaires Express,Cinema of Hong Kong
Bruce Lee,The Real Bruce Lee,Cinema of Hong Kong
Rosamund Kwan,The Banquet (1991 film),Cinema of Hong Kong
Yuen Biao,Lucky Stars,Cinema of Hong Kong
John Light (actor),Investigating Sex,United States
Jamie Gillis,Wanda Whips Wall Street,United States
Natasha Williams (actress),Esther (1999 film),United States
Ma Tianyu,Sisters Over Flowers (Chinese TV series),China
"Song Jia (actress, born 1980)",Falling Flowers,China
Terence Siufay,Summer Love Love,China
Li Chen (actor),Challenger's Alliance,China
Ma Tianyu,Ice Fantasy,China
Dylan Kuo,Single Princesses and Blind Dates,China
Dylan Kuo,The Longest Night in Shanghai,China
John Light (actor),Investigating Sex,Germany
Thibault Vin̤on,Murder in Pacot,Haiti
Dicky Cheung,The Kung Fu Scholar,Hong Kong
Rosamund Kwan,The Magic Crane,Hong Kong
Yuen Biao,"Shanghai, Shanghai",Hong Kong
Michael Wong (actor),City Hero,Hong Kong
Sharla Cheung,Faithfully Yours,Hong Kong
Sharla Cheung,Lee Rock II,Hong Kong
Sharla Cheung,The Romancing Star III,Hong Kong
Brigitte Lin,The Three Swordsmen,Hong Kong
Bruce Lee,The Thunderstorm,Hong Kong
Rosamund Kwan,Proud and Confident,Hong Kong
Yoyo Chen,Best Selling Secrets,Hong Kong
Yuen Biao,Rosa (1986 film),Hong Kong
Bruce Lee,The Kid (1950 film),Hong Kong
Johnson Lee,A Pillow Case of Mystery II,Hong Kong
Johnson Lee,Just Love II,Hong Kong
Dicky Cheung,Kung Fu Soccer,Hong Kong
Halina Tam,Sweetness in the Salt,Hong Kong
Kiki Sheung,The Money-Maker Recipe,Hong Kong
Dicky Cheung,The Monkey King: Quest for the Sutra,Hong Kong
Kiki Sheung,When Easterly Showers Fall on the Sunny West,Hong Kong
Michael Wong (actor),Beast Cops,Hong Kong
Rosamund Kwan,The Head Hunter,Hong Kong
Christine Kuo,Ghetto Justice II,Hong Kong
Rosamund Kwan,Gameboy Kids,Hong Kong
Rosamund Kwan,The Sting (1992 film),Hong Kong
Bruce Lee,The Big Boss,Hong Kong
William So,Healing Hands,Hong Kong
Johnny Ngan,Virtues of Harmony,Hong Kong
Johnny Ngan,Virtues of Harmony II,Hong Kong
Gigi Lai,War and Beauty,Hong Kong
Kiki Sheung,Brick Slaves,Hong Kong
Louis Cheung,Momentary Lapse of Reason (TV series),Hong Kong
Louis Cheung,Come Home Love (series 2),Hong Kong
Christine Kuo,Over Run Over,Hong Kong
Johnson Lee,Smooth Talker,Hong Kong
Felix Lok,The Menu,Hong Kong
Kiki Sheung,Two of a Kind (HK TV series),Hong Kong
Yuen Biao,Dragons Forever,Hong Kong
Yuen Biao,Spiritual Kung Fu,Hong Kong
Yuen Biao,Wheels on Meals,Hong Kong
Yuen Biao,Winners and Sinners,Hong Kong
Nina Li (actress),A Kid from Tibet,Hong Kong
Yuen Biao,A Kid from Tibet,Hong Kong
Gigi Lai,Young and Dangerous 2,Hong Kong
